Year,BD_CPI_2010base,BDT_per_USD,RMG_Wage_BDT,Real_Wage_2010BDT,Wage_USD_Market,Wage_USD_PPP,Is_Revision_Year
1990,32.2492201402459,34.5688083333333,627.0,1944.23,18.14,19.59,0
1991,34.299420491319,36.5961833333333,627.0,1828.02,17.13,19.59,0
1992,35.5458878143966,38.9507583333333,627.0,1763.92,16.1,19.59,0
1993,36.6175318517239,39.5672575,627.0,1712.29,15.85,19.59,0
1994,38.5632923178032,40.2117391666667,930.0,2411.62,23.13,29.06,1
1995,42.5344675825385,40.2783183333333,930.0,2186.46,23.09,29.06,0
1996,43.545566759,41.7941683333333,930.0,2135.69,22.25,29.06,0
1997,45.8559208091063,43.8921158333333,930.0,2028.09,21.19,29.06,0
1998,49.708844392463,46.9056516666666,930.0,1870.89,19.83,29.06,0
1999,52.7444123541293,49.0854,930.0,1763.22,18.95,29.06,0
2000,53.9091441150379,52.1416666666667,930.0,1725.12,17.84,29.06,0
2001,54.9911943003265,55.8066666666667,930.0,1691.18,16.66,29.06,0
2002,56.8238115576626,57.888,930.0,1636.64,16.07,29.06,0
2003,60.0449873584211,58.15004,930.0,1548.84,15.99,29.06,0
2004,64.6009226216381,59.5126583333333,930.0,1439.61,15.63,29.06,0
2005,69.1531029680564,64.327475,930.0,1344.84,14.46,29.06,0
2006,73.8314909913831,68.9332333333333,1662.0,2251.07,24.11,51.94,1
2007,80.5553137783967,68.874875,1662.0,2063.18,24.13,51.94,0
2008,87.7263034206632,68.598275,1662.0,1894.53,24.23,51.94,0
2009,92.484115240665,69.0390666666667,1662.0,1797.07,24.07,51.94,0
2010,100.0,69.6492916666667,3000.0,3000.0,43.07,93.75,1
2011,111.39516515524,74.1524,3000.0,2693.12,40.46,93.75,0
2012,118.321164250415,81.8626583333333,3000.0,2535.47,36.65,93.75,0
2013,127.231228786487,78.103235,5300.0,4165.64,67.86,165.62,1
2014,136.126776861358,77.6414083333333,5300.0,3893.43,68.26,165.62,0
2015,144.558850888013,77.9469083333333,5300.0,3666.33,67.99,165.62,0
2016,152.529140322278,78.4680916666667,5300.0,3474.75,67.54,165.62,0
2017,161.226458913586,80.4375416666667,5300.0,3287.3,65.89,165.62,0
2018,170.164243384102,83.4662019166666,8000.0,4701.34,95.85,250.0,1
2019,179.679821747048,84.4535225,8000.0,4452.36,94.73,250.0,0
2020,189.905534708779,84.8713916666667,8000.0,4212.62,94.26,250.0,0
2021,200.437039174984,85.08376325,8000.0,3991.28,94.02,250.0,0
2022,215.864586624407,91.7454544396961,8000.0,3706.03,87.2,250.0,0
2023,237.199569600947,106.309484297483,12500.0,5269.82,117.58,390.62,1
2024,262.024279467947,115.603653796648,12500.0,4770.55,108.13,390.62,0
2025,285.000567043325,121.920836605034,12500.0,4385.96,102.53,390.62,0
