Year,Apparel_Idx,Food_Idx,Housing_Idx,Overall_Idx,BD_Real_Wage_Idx,Wage_USD_Market
1990,95.76,78.87,75.81,75.88,112.7,18.14
1991,99.36,81.17,78.79,79.08,105.96,17.13
1992,101.79,82.17,81.08,81.48,102.25,16.1
1993,103.16,83.93,83.28,83.9,99.26,15.85
1994,102.97,85.96,85.38,86.08,139.79,23.13
1995,101.86,88.43,87.54,88.5,126.74,23.09
1996,101.65,91.33,90.1,91.1,123.8,22.25
1997,102.53,93.73,92.46,93.22,117.56,21.19
1998,102.65,95.74,94.57,94.67,108.45,19.83
1999,101.29,97.78,96.65,96.74,102.21,18.95
2000,100.0,100.0,100.0,100.0,100.0,17.84
2001,98.21,103.14,104.0,102.82,98.03,16.66
2002,95.68,104.99,106.3,104.46,94.87,16.07
2003,93.27,107.24,108.98,106.86,89.78,15.99
2004,92.95,110.93,111.77,109.71,83.45,15.63
2005,92.24,113.66,115.42,113.4,77.96,14.46
2006,92.18,116.3,119.8,117.05,130.49,24.11
2007,91.82,120.92,123.59,120.41,119.6,24.13
2008,91.76,127.59,127.53,125.01,109.82,24.23
2009,92.65,129.88,128.0,124.61,104.17,24.07
2010,92.21,130.87,127.53,126.65,173.9,43.07
2011,94.22,135.77,129.21,130.62,156.11,40.46
2012,97.43,139.3,131.34,133.33,146.97,36.65
2013,98.34,141.24,134.07,135.29,241.47,67.86
2014,98.43,144.63,137.53,137.47,225.69,68.26
2015,97.2,147.32,140.39,137.64,212.53,67.99
2016,97.28,147.74,143.87,139.38,201.42,67.54
2017,96.96,149.01,148.15,142.35,190.55,65.89
2018,96.98,151.09,152.43,145.83,272.52,95.85
2019,95.76,153.92,156.83,148.47,258.09,94.73
2020,91.13,159.23,160.27,150.33,244.19,94.26
2021,93.4,165.51,165.55,157.37,231.36,94.02
2022,98.08,181.98,177.39,169.94,214.83,87.2
2023,100.77,192.44,188.8,176.96,305.48,117.58
2024,101.46,196.81,197.06,182.18,276.53,108.13
2025,101.43,202.31,204.42,186.98,254.24,102.53
2026,104.57,207.11,209.87,191.97,,
