Year,Category,Raw_CPI,Index_2000
1990,Apparel,124.09166666666665,95.76
1990,Food,132.35833333333332,78.87
1990,Housing,128.54999999999998,75.81
1990,Overall,130.65833333333333,75.88
1991,Apparel,128.75,99.36
1991,Food,136.225,81.17
1991,Housing,133.6,78.79
1991,Overall,136.16666666666666,79.08
1992,Apparel,131.9,101.79
1992,Food,137.89166666666668,82.17
1992,Housing,137.49166666666667,81.08
1992,Overall,140.30833333333334,81.48
1993,Apparel,133.67499999999998,103.16
1993,Food,140.84166666666667,83.93
1993,Housing,141.225,83.28
1993,Overall,144.475,83.9
1994,Apparel,133.43333333333334,102.97
1994,Food,144.25833333333333,85.96
1994,Housing,144.775,85.38
1994,Overall,148.225,86.08
1995,Apparel,131.99166666666667,101.86
1995,Food,148.40833333333333,88.43
1995,Housing,148.44166666666666,87.54
1995,Overall,152.38333333333333,88.5
1996,Apparel,131.725,101.65
1996,Food,153.26666666666668,91.33
1996,Housing,152.79166666666666,90.1
1996,Overall,156.85833333333332,91.1
1997,Apparel,132.86666666666667,102.53
1997,Food,157.29166666666666,93.73
1997,Housing,156.79166666666666,92.46
1997,Overall,160.525,93.22
1998,Apparel,133.01666666666668,102.65
1998,Food,160.67499999999998,95.74
1998,Housing,160.375,94.57
1998,Overall,163.00833333333333,94.67
1999,Apparel,131.25833333333333,101.29
1999,Food,164.09166666666667,97.78
1999,Housing,163.9,96.65
1999,Overall,166.58333333333334,96.74
2000,Apparel,129.58333333333334,100.0
2000,Food,167.81666666666666,100.0
2000,Housing,169.57500000000002,100.0
2000,Overall,172.1916666666667,100.0
2001,Apparel,127.25833333333333,98.21
2001,Food,173.08333333333334,103.14
2001,Housing,176.35,104.0
2001,Overall,177.04166666666666,102.82
2002,Apparel,123.99166666666667,95.68
2002,Food,176.1916666666667,104.99
2002,Housing,180.25833333333333,106.3
2002,Overall,179.86666666666667,104.46
2003,Apparel,120.86666666666667,93.27
2003,Food,179.95833333333334,107.24
2003,Housing,184.79999999999998,108.98
2003,Overall,184.0,106.86
2004,Apparel,120.44166666666666,92.95
2004,Food,186.15833333333333,110.93
2004,Housing,189.54166666666666,111.77
2004,Overall,188.90833333333333,109.71
2005,Apparel,119.53333333333335,92.24
2005,Food,190.74166666666667,113.66
2005,Housing,195.71666666666667,115.42
2005,Overall,195.26666666666665,113.4
2006,Apparel,119.45,92.18
2006,Food,195.17499999999998,116.3
2006,Housing,203.15833333333333,119.8
2006,Overall,201.5583333333333,117.05
2007,Apparel,118.9885,91.82
2007,Food,202.92091666666667,120.92
2007,Housing,209.58258333333333,123.59
2007,Overall,207.34416666666667,120.41
2008,Apparel,118.90266666666668,91.76
2008,Food,214.11416666666665,127.59
2008,Housing,216.25508333333335,127.53
2008,Overall,215.25424999999998,125.01
2009,Apparel,120.0555,92.65
2009,Food,217.95433333333335,129.88
2009,Housing,217.05783333333332,128.0
2009,Overall,214.56466666666665,124.61
2010,Apparel,119.49125,92.21
2010,Food,219.62258333333332,130.87
2010,Housing,216.2535,127.53
2010,Overall,218.0761666666667,126.65
2011,Apparel,122.09166666666665,94.22
2011,Food,227.84041666666667,135.77
2011,Housing,219.10425,129.21
2011,Overall,224.923,130.62
2012,Apparel,126.25766666666668,97.43
2012,Food,233.763,139.3
2012,Housing,222.71383333333333,131.34
2012,Overall,229.58608333333333,133.33
2013,Apparel,127.43599999999999,98.34
2013,Food,237.02816666666664,141.24
2013,Housing,227.34975,134.07
2013,Overall,232.95174999999998,135.29
2014,Apparel,127.54950000000001,98.43
2014,Food,242.72050000000002,144.63
2014,Housing,233.21475,137.53
2014,Overall,236.715,137.47
2015,Apparel,125.95008333333334,97.2
2015,Food,247.23491666666666,147.32
2015,Housing,238.06041666666667,140.39
2015,Overall,237.00175000000002,137.64
2016,Apparel,126.06325,97.28
2016,Food,247.93466666666666,147.74
2016,Housing,243.97508333333334,143.87
2016,Overall,240.00541666666666,139.38
2017,Apparel,125.64125,96.96
2017,Food,250.0678333333333,149.01
2017,Housing,251.23116666666667,148.15
2017,Overall,245.121,142.35
2018,Apparel,125.67525,96.98
2018,Food,253.55724999999998,151.09
2018,Housing,258.4764166666667,152.43
2018,Overall,251.0995,145.83
2019,Apparel,124.08575,95.76
2019,Food,258.3115833333333,153.92
2019,Housing,265.94716666666665,156.83
2019,Overall,255.65258333333335,148.47
2020,Apparel,118.09474999999999,91.13
2020,Food,267.20733333333334,159.23
2020,Housing,271.78541666666666,160.27
2020,Overall,258.85575,150.33
2021,Apparel,121.02683333333333,93.4
2021,Food,277.752,165.51
2021,Housing,280.73075,165.55
2021,Overall,270.97341666666665,157.37
2022,Apparel,127.09441666666667,98.08
2022,Food,305.40075,181.98
2022,Housing,300.8115833333333,177.39
2022,Overall,292.62641666666667,169.94
2023,Apparel,130.5795,100.77
2023,Food,322.951,192.44
2023,Housing,320.16541666666666,188.8
2023,Overall,304.70300000000003,176.96
2024,Apparel,131.4745,101.46
2024,Food,330.27408333333335,196.81
2024,Housing,334.1605,197.06
2024,Overall,313.6981666666667,182.18
2025,Apparel,131.4340909090909,101.43
2025,Food,339.5079090909091,202.31
2025,Housing,346.6519090909091,204.42
2025,Overall,321.9619090909091,186.98
2026,Apparel,135.49966666666668,104.57
2026,Food,347.55766666666665,207.11
2026,Housing,355.8915,209.87
2026,Overall,330.5491666666667,191.97
